product_img,season,brand,product_name,price,estimated_delivery,highlights,composition,washing_instructions
https://cdn-images.farfetch-contents.com/16/07/19/45/16071945_31303830_1000.jpg, ,Maison Margiela,Replica low-top sneakers,,,"White Made from leather Branded footbeds Rubber soles Lace-up fastenings Logo patch tongues Round toes
Crafted in Italy ","Outer: Calf Leather 100%

Lining: Cotton 100%

Sole: Rubber 100%",Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/27/47/28/01/27472801_57314027_1000.jpg, ,FEAR OF GOD ESSENTIALS,straight-leg jeans   ,,,light blue button fly fastening classic five pockets logo patch to the rear ,Cotton 100%,Hand Wash
https://cdn-images.farfetch-contents.com/27/47/65/27/27476527_57314075_1000.jpg,New Season,Golden Goose,Worn-White T-shirt,,,white logo print to the front crew neck short sleeves ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/24/21/16/49/24211649_54305503_1000.jpg, ,Golden Goose,crew-neck cotton T-shirt ,,,white cotton lightweight jersey crew neck short sleeves star stud detailing straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/83/52/71/27835271_57522084_1000.jpg,New Season,Golden Goose,slogan-print T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Read Manufacturer Guidelines
https://cdn-images.farfetch-contents.com/27/40/36/07/27403607_57350241_1000.jpg,New Season,Golden Goose,logo-print cotton T-shirt,,,grape purple crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/59/07/30/27590730_57409946_1000.jpg,New Season,Iceberg,logo-embroidered T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/28/58/18/29285818_58498719_1000.jpg,New Season,Isaac Sellam Experience,Nouveau T-shirt,,,white logo plaque crew neck short sleeves ,Body: Organic Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/72/28/87/29722887_58979489_1000.jpg,New Season,Kired,cotton T-shirt,,,white crew neck short sleeves  ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/27/92/98/77/27929877_57672169_1000.jpg,New Season,CAFÉ KITSUNÉ,Barista Fox Patch Relaxed T-shirt,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
https://cdn-images.farfetch-contents.com/29/44/30/74/29443074_58884096_1000.jpg,New Season,RANRA,pointelle-knit top,,,white crew neck short sleeves straight hem ,Cotton 100%,Machine Wash
